"","0","1","2","3","4","5","6","7"
"Hnf4g",0.00944737562964917,0.0263249442239575,0.0353653771159639,0.030863318450654,0.0184480776199129,0.0292575590116046,0.0295441306856212,0.0304587730664431
"Zfhx4",0.0346747436826504,0.109676501502244,0.0857990184052374,0.107058560900839,0.0898237407002704,0.0393647387964687,0.0835951489118327,0.198410166691933
"Pex2",0.242928287702413,0.297668372521723,0.239718253756441,0.384494249513454,0.427537996847772,0.151141260118636,0.201678535233264,0.36494405851434
"UBC",0.000266975398107721,0.00210171736860982,0,0.00131983460177316,0,0,0.000483523428335233,0
"1700008P02Rik",0.00100771896397266,0,0,0.000267022458951952,0.00244463716598724,0,0.00129432219240854,0
"Pkia",0.00970853147354401,0.00695339328552623,0.0114233478821404,0.0164134370924579,0.0186033619538348,0.0031192199912931,0.0382632930285335,0.0110506521919527
"Zc2hc1a",0.0713641284141146,0.110199596461466,0.136164684086394,0.207926997653248,0.177932375630285,0.0164856118018645,0.081310842363305,0.131018573762318
"Il7",0.0273589179091476,0.025511492059413,0.0524554289429267,0.0852422621198617,0.0842720526364698,0.00746703667869214,0.0587638425528278,0.0238898115008234
"1700010I02Rik",0.00268536650410718,0.00342957573296883,0.0044342479815652,0.00698824444756109,0,0.00532921030697705,0.00450058519187579,0
"Stmn2",0.00494683898447367,0.0122430577375686,0.0391593291217545,0.0129938086078984,0.00797317724131844,0.00814647284653333,0.0280724795388534,0
"Hey1",0.187454389220015,0.0854782383803952,0.237964337715776,0.154932520171019,0.303761075351141,0.0533953720157773,0.134012858801846,0.295992623987694
"Mrps28",0.369237718659778,0.354686874162719,0.446642037635619,0.41951851086729,0.407269305793426,0.325581582527389,0.587828151387582,0.504059085195188
"Tpd52",0.852300261517704,0.601855286162921,0.320902153908962,0.988078343432242,0.452887614050591,1.23577522048653,0.456298856662741,0.847504043966923
"Zbtb10",0.409426006572842,0.0518639517024996,0.0940353167970938,0.164087181501906,0.332152395157931,0.0377677865480009,0.142573594954329,0.330589712705699
"Zfp704",0.308465324572217,0.346776792745509,0.462053023934167,0.465125629540415,0.700871249548472,0.141297165149661,0.518072522678315,0.236117918662364
"Pag1",1.15680531488887,0.662882803665316,0.767924198452184,0.945557979787501,0.901882525339238,0.843887560505316,0.494598095434964,0.699412674210081
"Fabp5",0.107912480865424,0.0541929724977189,0.273276812502914,0.136363913395907,0.0984015315429931,0.0206222194026824,0.0885525593844598,0.241396740122103
"Gm9833",0.0748418446022214,0.0104952356467394,0.00819624462834297,0.154059581305219,0.0199599772111143,0.0110786787535216,0.0234835171831075,0.0637649862758962
