"","0","1","2","3","4","5","6","7"
"Hnf4g",0.0118500388990032,0.0350678129706556,0.012531552579681,0.0317163673224371,0.0121017399309933,0.0103481254200081,0.0359087100589592,0.0498629646532735
"Zfhx4",0.0367493903929608,0.185757458332277,0.0604204211128966,0.166006474722652,0.0696341560873101,0.0378836124193845,0.0451539399286864,0.152739165493298
"Pex2",0.262089166647119,0.369761972846711,0.27732176106429,0.348020092116361,0.316375946530036,0.201515812832753,0.252734767685613,0.276520399984992
"UBC",0.0013708366952155,0.000532441164536388,0,0,0,0,0,0
"1700008P02Rik",0,0.0014703275151828,0.00115394405919594,0,0,0,0.00129228308317391,0
"Pkia",0.0040984816780173,0.0187069209649182,0.00323498916038949,0.0401389556660363,0.00792982711541528,0,0.0677853760854092,0.0219090069699804
"Zc2hc1a",0.0470118538054905,0.0946090369860892,0.0412367838468694,0.174721801962805,0.0465423354896674,0.0269925413170353,0.0742211906974089,0.259060920972141
"Il7",0.00977068792283877,0.0286372574680817,0.0164187460901815,0.099652929488295,0.0107881971866364,0.0132323780489332,0.0496789998191334,0.0615949600133327
"1700010I02Rik",0.00362767046680717,0.00592878288966059,0.0021852113700125,0.00229101278370704,0.0019329171065283,0.00133513822546894,0.00238055805333602,0
"Stmn2",0.0039005534297623,0.0224006100165757,0.0108911226513549,0.0345858131268341,0.00595661670411032,0.0104312926505367,0.0209956371868152,0
"Hey1",0.20816619708101,0.161930443926253,0.300653081488561,0.176219942334384,0.328603992921052,0.0547781527690114,0.0780495159528913,0.320840774382118
"Mrps28",0.397796983318917,0.452539212356918,0.412319046715614,0.438316678387766,0.479551545520854,0.334360386401642,0.517867287888349,0.560908271615471
"Tpd52",0.804512086451925,0.753054851713758,0.391545462380171,1.00151725131947,0.438586816805464,1.24912242626122,0.334060677690434,0.895301098568431
"Zbtb10",0.451253750703213,0.0951617459909837,0.151075682392215,0.172624536856466,0.17808980777945,0.0655789068462838,0.149750381074505,0.241695386675359
"Zfp704",0.319800536348533,0.460318066144176,0.669109481307411,0.598737016708676,0.689208770289531,0.217197087147776,0.469835525064267,0.279934344362531
"Pag1",1.07812602147551,0.778992361610519,0.936810139749472,0.948910092578479,0.979383358290113,0.98029974930711,0.423333013666668,0.736488471361381
"Fabp5",0.101626928225548,0.0469419204096097,0.219995353578149,0.183428031495168,0.190300265191111,0.0137843693503933,0.0656945578863937,0.250010906358419
"Gm9833",0.0814534098258105,0.0295830222401356,0.00349210041330273,0.143858720198869,0.00447273147200733,0.0118676723109569,0.00583843731145011,0.0542864504227831
"Pmp2",0.000837564445959263,0.00610544503928431,0.00223232207921076,0.0120556046181001,0.00341697112908166,0,0,0
"RP24-137C19.6",0.00628649818663091,0.0163696475502925,0.0073226930400036,0.0322392785755652,0.0121618766575991,0,0,0.0258013190382007
"Fabp9",0.00244096522868912,0.00329950178868104,0.0020996286186622,0.0160011655903781,0.00563840055408555,0,0,0.0258013190382007
"Fabp4",0.012699081890134,0.00593259233144847,0.0281524333071305,0.0402657236932641,0.03851265970765,0.012845760808139,0.0357109465059205,0.0966131012421715
"Fabp12",0.0817947505333496,0.400712470833815,0.0843906939482319,0.442781400646622,0.0591217523818556,0.291224979787394,0.12784653473093,0.12778593914338
"Impa1",0.164329712167482,0.144309830130587,0.203104323975485,0.15807724532008,0.201094338502178,0.0792243638796767,0.148831720286299,0.262591975581133
"RP23-436F15.5",0.155402089559808,0.138904780225342,0.186483591185023,0.136530815912489,0.188481354220924,0.0638753900864209,0.134119486350366,0.267538682112334
"Slc10a5",0.00646743173804,0.00440831026549543,0.0138582619343536,0.0146611425369172,0.0128363458273944,0.00906747365848133,0.00917396115821744,0.0128589788005563
"Zfand1",0.312866358534997,0.255113171216759,0.379407501941525,0.228156312709387,0.317212436832867,0.233183859101674,0.256337507377608,0.457728840560292
"Chmp4c",0.0477240106180908,0.0479418185565458,0.057259171319168,0.0742770798747461,0.0651360610861957,0.0332715244720758,0.0622369677519697,0.121055789608113
"Snx16",0.200424787740787,0.146269364977884,0.225527037216722,0.139638672530068,0.230483151794143,0.0750483733093298,0.148333416827839,0.321706218900714
"Ralyl",0.01756393278585,0.0356508844247096,0.0274372892172986,0.0651396068316589,0.0276198706059494,0.00895331073798051,0.0754002130011751,0.0610741662038141
